site id, 700015250c, 700016960, 700023720c, 700024752, 700032133c, 700033153c, 700037123c, 700038493, 700095058, 700096865, 700098867, 700102586c, 700103477c, 700105306, 700110354, 700114218, 700119165, 700122408, 700123700, 700124561, 700165634, 700167825, 700171115c
average pi, 0.003892187879890165, 0.003487324441119998, 0.0036612284492067194, 0.0010047217890258374, 0.002556089680453406, 0.0013571257990133332, 0.00438432860265973, 0.003865210803303559, 0.0019657567531190154, 0.0025473790823534346, 0.0010041365944393444, 0.004125706521591417, 0.003584377657599859, 0.0007466978138810698, 0.0019371899240615326, 0.007862061523806542, 0.004247453093755716, 0.0023125377243744813, 0.000382522958690287, 0.00438723464994103, 0.002697540496078538, 0.005095153160038387, 0.004814631454327234
num_sites, 37667, 68592, 16776, 2458174, 2766710, 2521966, 50310, 799793, 19007, 69388, 16163, 58120, 30713, 2016698, 20964, 9590, 36766, 55078, 999572, 33003, 46269, 27933, 10912
