site id, SRR7658619, SRR8180446, SRR8784389, SRR7658630, SRR7658601, SRR8180447, SRR7658602, SRR7658632, SRR8784380, SRR7658581, SRR8784372, SRR7658635, SRR7658652, SRR7658582, SRR7658644, SRR7658624, SRR7658636, SRR7658654, SRR8784393, SRR7658595, SRR7658625, SRR8784383, SRR7658657, SRR7658628, SRR7658586, SRR8784365, SRR8784366
average pi, 0.012279030940056477, 0.010116630171583929, 0.004559953212284229, 0.0012776138591987514, 0.007181343422903003, 0.006257071154254659, 0.0036626810221732625, 0.009899961235565741, 0.005180914056310437, 0.011908798333959105, 0.0013320745131428404, 0.009808799630631885, 0.0027186080784611854, 0.012095120822076012, 0.013842919988226097, 0.006007189776408115, 0.009324313867143275, 0.005964599851639113, 0.003310847555272757, 0.0068195617543824975, 0.009728363679458063, 0.011990717767690133, 0.0011542028232627882, 0.003212281479624087, 0.006232700554198475, 0.00933461775099615, 0.0014050005204752794
num_sites, 59084, 149928, 566771, 669771, 335328, 299863, 96812, 124247, 257960, 259342, 1867896, 54081, 290187, 148746, 76965, 177309, 636778, 408349, 950778, 200324, 569780, 186970, 2137983, 244071, 2357953, 379987, 1082757
